Step,AgentID,Wealth,Steps_not_given
1,1,1,0
1,2,1,0
1,3,1,0
1,4,1,0
1,5,1,0
1,6,1,0
1,7,1,0
1,8,1,0
1,9,1,0
1,10,1,0
1,11,1,0
1,12,1,0
1,13,1,0
1,14,1,0
1,15,1,0
1,16,1,0
1,17,1,0
1,18,1,0
1,19,1,0
1,20,1,0
1,21,1,0
1,22,1,0
1,23,1,0
1,24,1,0
1,25,1,0
1,26,1,0
1,27,1,0
1,28,1,0
1,29,1,0
1,30,1,0
1,31,1,0
1,32,1,0
1,33,1,0
1,34,1,0
1,35,1,0
1,36,1,0
1,37,1,0
1,38,1,0
1,39,1,0
1,40,1,0
1,41,1,0
1,42,1,0
1,43,1,0
1,44,1,0
1,45,1,0
1,46,1,0
1,47,1,0
1,48,1,0
1,49,1,0
1,50,1,0
1,51,1,0
1,52,1,0
1,53,1,0
1,54,1,0
1,55,1,0
1,56,1,0
1,57,1,0
1,58,1,0
1,59,1,0
1,60,1,0
1,61,1,0
1,62,1,0
1,63,1,0
1,64,1,0
1,65,1,0
1,66,1,0
1,67,1,0
1,68,1,0
1,69,1,0
1,70,1,0
1,71,1,0
1,72,1,0
1,73,1,0
1,74,1,0
1,75,1,0
1,76,1,0
1,77,1,0
1,78,1,0
1,79,1,0
1,80,1,0
1,81,1,0
1,82,1,0
1,83,1,0
1,84,1,0
1,85,1,0
1,86,1,0
1,87,1,0
1,88,1,0
1,89,1,0
1,90,1,0
1,91,1,0
1,92,1,0
1,93,1,0
1,94,1,0
1,95,1,0
1,96,1,0
1,97,1,0
1,98,1,0
1,99,1,0
1,100,1,0
1,101,1,0
1,102,1,0
1,103,1,0
1,104,1,0
1,105,1,0
1,106,1,0
1,107,1,0
1,108,1,0
1,109,1,0
1,110,1,0
1,111,1,0
1,112,1,0
1,113,1,0
1,114,1,0
1,115,1,0
1,116,1,0
1,117,1,0
1,118,1,0
1,119,1,0
1,120,1,0
1,121,1,0
1,122,1,0
1,123,1,0
1,124,1,0
1,125,1,0
1,126,1,0
1,127,1,0
1,128,1,0
1,129,1,0
1,130,1,0
1,131,1,0
1,132,1,0
1,133,1,0
1,134,1,0
1,135,1,0
1,136,1,0
1,137,1,0
1,138,1,0
1,139,1,0
1,140,1,0
1,141,1,0
1,142,1,0
1,143,1,0
1,144,1,0
1,145,1,0
1,146,1,0
1,147,1,0
1,148,1,0
1,149,1,0
1,150,1,0
1,151,1,0
1,152,1,0
1,153,1,0
1,154,1,0
1,155,1,0
1,156,1,0
1,157,1,0
1,158,1,0
1,159,1,0
1,160,1,0
1,161,1,0
1,162,1,0
1,163,1,0
1,164,1,0
1,165,1,0
1,166,1,0
1,167,1,0
1,168,1,0
1,169,1,0
1,170,1,0
1,171,1,0
1,172,1,0
1,173,1,0
1,174,1,0
1,175,1,0
1,176,1,0
1,177,1,0
1,178,1,0
1,179,1,0
1,180,1,0
1,181,1,0
1,182,1,0
1,183,1,0
1,184,1,0
1,185,1,0
1,186,1,0
1,187,1,0
1,188,1,0
1,189,1,0
1,190,1,0
1,191,1,0
1,192,1,0
1,193,1,0
1,194,1,0
1,195,1,0
1,196,1,0
1,197,1,0
1,198,1,0
1,199,1,0
1,200,1,0
2,1,1,0
2,2,0,0
2,3,2,0
2,4,2,0
2,5,2,0
2,6,1,0
2,7,1,0
2,8,1,0
2,9,1,0
2,10,2,0
2,11,1,0
2,12,1,0
2,13,1,0
2,14,1,0
2,15,1,0
2,16,1,0
2,17,1,0
2,18,1,0
2,19,1,0
2,20,1,0
2,21,2,0
2,22,1,0
2,23,0,0
2,24,1,0
2,25,1,1
2,26,2,0
2,27,1,0
2,28,1,0
2,29,0,0
2,30,1,0
2,31,1,0
2,32,1,0
2,33,0,0
2,34,0,0
2,35,1,1
2,36,2,0
2,37,1,0
2,38,0,0
2,39,1,0
2,40,0,0
2,41,1,1
2,42,1,0
2,43,1,1
2,44,1,0
2,45,0,0
2,46,1,0
2,47,0,0
2,48,0,0
2,49,1,0
2,50,1,0
2,51,1,0
2,52,0,0
2,53,1,0
2,54,1,0
2,55,1,1
2,56,1,1
2,57,0,0
2,58,2,0
2,59,1,0
2,60,0,0
2,61,1,1
2,62,1,0
2,63,1,0
2,64,0,0
2,65,2,0
2,66,2,0
2,67,1,0
2,68,2,0
2,69,2,0
2,70,1,1
2,71,1,1
2,72,1,0
2,73,1,0
2,74,1,0
2,75,1,0
2,76,1,0
2,77,1,0
2,78,1,1
2,79,1,0
2,80,1,0
2,81,1,0
2,82,1,0
2,83,2,0
2,84,2,0
2,85,2,0
2,86,1,0
2,87,1,0
2,88,1,0
2,89,1,0
2,90,1,0
2,91,1,1
2,92,1,1
2,93,1,0
2,94,1,0
2,95,1,0
2,96,1,1
2,97,2,0
2,98,1,0
2,99,1,0
2,100,1,0
2,101,0,0
2,102,1,0
2,103,0,0
2,104,1,0
2,105,1,0
2,106,1,0
2,107,1,0
2,108,0,0
2,109,1,0
2,110,1,0
2,111,1,0
2,112,1,1
2,113,1,0
2,114,0,0
2,115,1,0
2,116,1,0
2,117,2,0
2,118,2,0
2,119,2,0
2,120,1,1
2,121,0,0
2,122,1,0
2,123,1,0
2,124,0,0
2,125,0,0
2,126,1,1
2,127,1,0
2,128,2,0
2,129,1,0
2,130,1,0
2,131,1,0
2,132,2,0
2,133,1,1
2,134,1,0
2,135,1,0
2,136,0,0
2,137,0,0
2,138,1,0
2,139,1,0
2,140,1,0
2,141,2,0
2,142,1,0
2,143,2,0
2,144,1,0
2,145,1,0
2,146,1,0
2,147,1,0
2,148,2,0
2,149,2,0
2,150,1,0
2,151,1,0
2,152,1,1
2,153,1,0
2,154,1,1
2,155,1,0
2,156,1,0
2,157,1,0
2,158,1,1
2,159,1,0
2,160,1,0
2,161,1,0
2,162,1,0
2,163,1,1
2,164,0,0
2,165,0,0
2,166,0,0
2,167,2,0
2,168,0,0
2,169,1,0
2,170,1,1
2,171,1,0
2,172,2,0
2,173,3,0
2,174,1,0
2,175,0,0
2,176,1,0
2,177,1,0
2,178,1,1
2,179,0,0
2,180,0,0
2,181,2,0
2,182,2,0
2,183,1,0
2,184,0,0
2,185,0,0
2,186,1,0
2,187,1,0
2,188,1,0
2,189,1,1
2,190,1,1
2,191,2,0
2,192,1,1
2,193,1,0
2,194,1,0
2,195,2,0
2,196,1,0
2,197,1,0
2,198,0,0
2,199,1,0
2,200,1,1
3,1,1,0
3,2,0,1
3,3,2,0
3,4,2,0
3,5,2,0
3,6,1,0
3,7,1,0
3,8,0,0
3,9,1,1
3,10,3,0
3,11,1,1
3,12,1,0
3,13,1,1
3,14,1,0
3,15,0,0
3,16,1,0
3,17,1,1
3,18,1,0
3,19,1,1
3,20,1,0
3,21,2,0
3,22,1,0
3,23,1,0
3,24,1,1
3,25,1,0
3,26,1,0
3,27,1,0
3,28,2,0
3,29,0,1
3,30,1,0
3,31,1,0
3,32,1,0
3,33,0,1
3,34,0,1
3,35,0,1
3,36,2,0
3,37,2,0
3,38,0,0
3,39,1,0
3,40,2,0
3,41,1,2
3,42,0,0
3,43,1,0
3,44,0,0
3,45,1,0
3,46,1,1
3,47,0,0
3,48,1,0
3,49,1,0
3,50,2,0
3,51,1,0
3,52,0,0
3,53,1,0
3,54,1,0
3,55,1,0
3,56,1,0
3,57,1,0
3,58,2,1
3,59,1,0
3,60,0,1
3,61,1,2
3,62,0,0
3,63,1,0
3,64,0,1
3,65,2,1
3,66,2,0
3,67,1,0
3,68,1,0
3,69,2,0
3,70,1,2
3,71,1,0
3,72,1,0
3,73,1,0
3,74,1,1
3,75,1,0
3,76,1,0
3,77,2,0
3,78,1,0
3,79,1,0
3,80,1,0
3,81,1,0
3,82,0,0
3,83,2,1
3,84,3,0
3,85,2,0
3,86,1,0
3,87,1,1
3,88,1,1
3,89,1,0
3,90,1,0
3,91,1,2
3,92,1,2
3,93,1,0
3,94,1,0
3,95,1,0
3,96,0,1
3,97,1,0
3,98,0,0
3,99,1,0
3,100,1,0
3,101,1,0
3,102,1,0
3,103,1,0
3,104,1,0
3,105,1,0
3,106,1,0
3,107,1,1
3,108,1,0
3,109,1,0
3,110,1,0
3,111,0,0
3,112,2,0
3,113,1,1
3,114,0,1
3,115,1,0
3,116,1,0
3,117,2,1
3,118,3,0
3,119,2,0
3,120,1,0
3,121,1,0
3,122,1,0
